iter	RMSE
0	0.1114237466
1	0.08922177538
2	0.07339542776
3	0.062805298
4	0.0553056861
5	0.05045258893
6	0.04717084028
7	0.04517115239
8	0.04344760037
9	0.04222074291
10	0.04154575322
11	0.04092879909
12	0.04040411277
13	0.04003556342
14	0.03952479666
15	0.03928357184
16	0.03901498744
17	0.0388215662
18	0.03839882926
19	0.03823954319
20	0.03804414012
21	0.0377403851
22	0.0375391988
23	0.03737396005
24	0.03716703871
25	0.03692412101
26	0.03679279931
27	0.0366423081
28	0.0365341362
29	0.03625248899
30	0.0361361371
31	0.03593416857
32	0.03574626756
33	0.03567928101
34	0.03560023242
35	0.03549535324
36	0.03545683594
37	0.03534362506
38	0.03516750184
39	0.03504861776
40	0.03498822005
41	0.03484299951
42	0.03477795605
43	0.03470580227
44	0.03462885165
45	0.03458011565
46	0.03451040368
47	0.03445325373
48	0.03442753078
49	0.03433112121
50	0.03419851777
51	0.0340983844
52	0.03398455104
53	0.03390218341
54	0.03381027794
55	0.03377792409
56	0.03371406559
57	0.03363215958
58	0.03355958306
59	0.03348590488
60	0.03340979838
61	0.03333324393
62	0.03324268855
63	0.03315301596
64	0.03310381993
65	0.0330277812
66	0.03298546903
67	0.0329436423
68	0.03291301681
69	0.03286117236
70	0.032795661
71	0.03264103987
72	0.03258371481
73	0.03248259218
74	0.03239771213
75	0.03234843656
76	0.03231234952
77	0.03223643578
78	0.03217929554
79	0.03212548337
80	0.03206481928
81	0.03205148606
82	0.03197103256
83	0.0318944649
84	0.03184026294
85	0.03179396464
86	0.03173029941
87	0.03167513018
88	0.03158364545
89	0.03153658546
90	0.0314657312
91	0.03141153325
92	0.0313588767
93	0.0313296032
94	0.03126740123
95	0.03122568021
96	0.03118653329
97	0.03112745753
98	0.03106421374
99	0.03100169016
100	0.03095772358
101	0.0309278891
102	0.03088010654
103	0.03085328163
104	0.03081484523
105	0.03074518429
106	0.03069412662
107	0.03066582976
108	0.03063198007
109	0.03060329532
110	0.03056099025
111	0.03052593805
112	0.03051231491
113	0.03049007924
114	0.03044294041
115	0.03040452942
116	0.03037116319
117	0.03033276276
118	0.03031822422
119	0.03028895061
120	0.03025350001
121	0.03021401525
122	0.03015362076
123	0.03011082441
124	0.03006009105
125	0.03005364355
126	0.03001792714
127	0.02999090118
128	0.02994344857
129	0.02989633092
130	0.02986752196
131	0.02984744348
132	0.02979817953
133	0.02976859927
134	0.02974261661
135	0.02971900579
136	0.02969360492
137	0.02966733921
138	0.02963130753
139	0.02959715827
140	0.02955548201
141	0.02951579436
142	0.02947775797
143	0.0294452362
144	0.02942779991
145	0.02940730443
146	0.02938421153
147	0.02936514723
148	0.02934528559
149	0.02931987793
150	0.02929651048
151	0.02926907378
152	0.02925469227
153	0.02920920369
154	0.02918267806
155	0.02917694878
156	0.02915868881
157	0.02915392117
158	0.02913064458
159	0.02909755092
160	0.02905444144
161	0.02902395594
162	0.02901127471
163	0.02899457496
164	0.02896212902
165	0.0289331
166	0.02891080327
167	0.02886339972
168	0.0288490083
169	0.02881550146
170	0.02876095467
171	0.02873689367
172	0.0286941666
173	0.02867486278
174	0.02865890497
175	0.02864144039
176	0.02862460973
177	0.02859749924
178	0.028572674
179	0.02854098954
180	0.02850207885
181	0.02848182231
182	0.02846242092
183	0.02841784382
184	0.02836559896
185	0.02833350947
186	0.02830799512
187	0.02829116743
188	0.02827075933
189	0.02824126715
190	0.02820802621
191	0.0281908073
192	0.02817450713
193	0.02814566547
194	0.02812031086
195	0.02808292016
196	0.02805883249
197	0.02802873236
