day,demand,NumberofLanes,LargeVehicles,Landmarks,Temperature,hour,minute,road_type_ord,weather_severity,latitude,longitude,geohash_target_enc,geohash_prefix_enc
0,0.0488042949024875,1,0,0,18.389311567220023,0,0,0.0,0.0,-5.48492431640625,90.6646728515625,0.03977399491551445,0.13990913849691822
0,0.1185072915415505,3,1,1,31.104564604387004,0,0,0.0,0.0,-5.46295166015625,90.6866455078125,0.20979176919254253,0.13990913849691822
0,0.0271317062001134,1,0,0,25.91926731826868,0,0,0.0,0.0,-5.46295166015625,90.7086181640625,0.12945836634809177,0.056277385050379394
0,0.0032715267668777,1,0,0,15.58833578104865,0,0,0.0,2.0,-5.46295166015625,90.8624267578125,0.014651966623485708,0.056277385050379394
0,0.0108193962352523,1,0,0,10.803667437719188,0,0,0.0,2.0,-5.45745849609375,90.6756591796875,0.02982771011589807,0.13990913849691822
0,0.0162622793894155,2,0,1,8.446025217429987,0,0,0.0,2.0,-5.45745849609375,90.6866455078125,0.49856607846729956,0.13990913849691822
0,0.0422474543815316,3,1,1,15.772408216444395,0,0,0.0,1.0,-5.45745849609375,90.6976318359375,0.1357173611921757,0.13990913849691822
0,0.0401354627300932,1,0,0,2.705143266285236,0,0,0.0,3.0,-5.45745849609375,90.7415771484375,0.13451753535036706,0.056277385050379394
0,0.0010020345130475,1,0,0,18.13689866092085,0,0,0.0,1.0,-5.45745849609375,90.8514404296875,0.04082091839342762,0.056277385050379394
0,0.0039484383575523,3,1,1,12.738208945925855,0,0,0.0,2.0,-5.45745849609375,90.8734130859375,0.01704420853290873,0.056277385050379394
0,0.0177802395047849,1,0,0,8.240079709262693,0,0,0.0,2.0,-5.45196533203125,90.6646728515625,0.09784537223726125,0.13990913849691822
0,0.0890601277643069,2,0,1,19.2453809525194,0,0,0.0,0.0,-5.45196533203125,90.6756591796875,0.15326904093420243,0.13990913849691822
0,0.0500956084079046,3,1,1,8.160115459038007,0,0,0.0,2.0,-5.45196533203125,90.6866455078125,0.31015425630840493,0.13990913849691822
0,0.1525977123766266,1,0,0,11.509704872334956,0,0,0.0,2.0,-5.45196533203125,90.6976318359375,0.32932083646984833,0.13990913849691822
0,0.0118702526315578,1,0,0,16.33667107091718,0,0,0.0,1.0,-5.45196533203125,90.7196044921875,0.0686322633097683,0.056277385050379394
0,0.0050907495014671,1,0,0,4.696763714255914,0,0,0.0,3.0,-5.45196533203125,90.7305908203125,0.025918872799620435,0.056277385050379394
0,0.0014920623887245,1,0,0,19.26671713681805,0,0,0.0,0.0,-5.45196533203125,90.7415771484375,0.10983751733120574,0.056277385050379394
0,0.0032837687608653,3,1,1,24.318534306717417,0,0,0.0,0.0,-5.45196533203125,90.7525634765625,0.14378493010766627,0.056277385050379394
