day,demand,NumberofLanes,LargeVehicles,Landmarks,Temperature,hour,minute,road_type_ord,weather_severity,latitude,longitude,geohash_target_enc,geohash_prefix_enc,hour_sin,hour_cos,is_peak_hour,is_business_hour,is_night,hour_squared
0,0.0488042949024875,1,0,0,18.389311567220023,0,0,0.0,0.0,-5.48492431640625,90.6646728515625,0.0397739949155144,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.1185072915415505,3,1,1,31.104564604387004,0,0,0.0,0.0,-5.46295166015625,90.6866455078125,0.2097917691925425,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.0271317062001134,1,0,0,25.91926731826868,0,0,0.0,0.0,-5.46295166015625,90.7086181640625,0.1294583663480917,0.0562773850503793,0.0,1.0,0,0,1,0
0,0.0032715267668777,1,0,0,15.58833578104865,0,0,0.0,2.0,-5.46295166015625,90.8624267578125,0.0146519666234857,0.0562773850503793,0.0,1.0,0,0,1,0
0,0.0108193962352523,1,0,0,10.803667437719188,0,0,0.0,2.0,-5.45745849609375,90.6756591796875,0.029827710115898,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.0162622793894155,2,0,1,8.446025217429987,0,0,0.0,2.0,-5.45745849609375,90.6866455078125,0.4985660784672995,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.0422474543815316,3,1,1,15.772408216444395,0,0,0.0,1.0,-5.45745849609375,90.6976318359375,0.1357173611921757,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.0401354627300932,1,0,0,2.705143266285236,0,0,0.0,3.0,-5.45745849609375,90.7415771484375,0.134517535350367,0.0562773850503793,0.0,1.0,0,0,1,0
0,0.0010020345130475,1,0,0,18.13689866092085,0,0,0.0,1.0,-5.45745849609375,90.8514404296875,0.0408209183934276,0.0562773850503793,0.0,1.0,0,0,1,0
0,0.0039484383575523,3,1,1,12.738208945925855,0,0,0.0,2.0,-5.45745849609375,90.8734130859375,0.0170442085329087,0.0562773850503793,0.0,1.0,0,0,1,0
0,0.0177802395047849,1,0,0,8.240079709262693,0,0,0.0,2.0,-5.45196533203125,90.6646728515625,0.0978453722372612,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.0890601277643069,2,0,1,19.2453809525194,0,0,0.0,0.0,-5.45196533203125,90.6756591796875,0.1532690409342024,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.0500956084079046,3,1,1,8.160115459038007,0,0,0.0,2.0,-5.45196533203125,90.6866455078125,0.3101542563084049,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.1525977123766266,1,0,0,11.509704872334956,0,0,0.0,2.0,-5.45196533203125,90.6976318359375,0.3293208364698483,0.1399091384969182,0.0,1.0,0,0,1,0
0,0.0118702526315578,1,0,0,16.33667107091718,0,0,0.0,1.0,-5.45196533203125,90.7196044921875,0.0686322633097683,0.0562773850503793,0.0,1.0,0,0,1,0
0,0.0050907495014671,1,0,0,4.696763714255914,0,0,0.0,3.0,-5.45196533203125,90.7305908203125,0.0259188727996204,0.0562773850503793,0.0,1.0,0,0,1,0
0,0.0014920623887245,1,0,0,19.26671713681805,0,0,0.0,0.0,-5.45196533203125,90.7415771484375,0.1098375173312057,0.0562773850503793,0.0,1.0,0,0,1,0
